銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"ミツウロコグループ","8131","東証","○","-","○","15,100","09/25","有","0.00","806","1","-1.70 %","-","45","17,100","-2.30 %","貸借","0.05"
"シナネンホールディングス","8132","東証","○","-","○","4,300","-","無","0.00","1,831","20","-1.08 %","-","76","18,300","-1.08 %","貸借","0.00"
"伊藤忠エネクス","8133","東証","-","-","○","56,500","-","無","0.00","862","5","0.11 %","-","306","78,900","-0.46 %","貸借","0.00"
"サンワテクノス","8137","東証","-","-","○","3,000","-","無","0.00","842","3","-0.23 %","-","131","23,800","-2.09 %","貸借","0.00"
"リョーサン","8140","東証","-","-","○","21,400","-","無","0.00","2,478","-54","-1.47 %","-","233","37,000","-4.83 %","貸借","0.05"
"新光商事","8141","東証","○","-","○","4,300","-","無","0.00","1,864","-32","-1.79 %","-","111","23,500","-2.30 %","貸借","0.05"
"東陽テクニカ","8151","東証","-","-","○","17,300","-","無","0.00","940","12","1.07 %","-","223","115,300","-0.52 %","貸借","0.00"
"モスフードサービス","8153","東証","○","-","○","2,500","09/25","有","0.00","2,353","18","0.64 %","-","630","114,500","-2.12 %","貸借","0.00"
"加賀電子","8154","東証","-","-","○","25,900","-","無","0.00","1,516","-2","-0.13 %","-","248","41,200","-2.06 %","貸借","0.00"
"立花エレテック","8159","東証","○","-","○","500","03/26","有","0.00","1,753","-19","-0.96 %","-","152","34,000","-1.40 %","貸借","0.05"
"木曽路","8160","東証","○","-","○","3,700","09/25","有","0.00","2,523","21","0.47 %","-","104","19,100","-0.74 %","貸借","0.05"
"上新電機","8173","東証","-","-","○","28,200","09/25","有","0.00","2,090","-10","-0.47 %","-","56","9,200","-2.65 %","貸借","0.00"
"日本瓦斯","8174","東証","-","-","○","44,600","-","無","0.00","2,714","-40","-1.41 %","-","1,293","206,600","-3.51 %","貸借","0.00"
"いなげや","8182","東証","-","-","○","6,400","09/25","有","0.00","1,366","-4","-0.29 %","-","75","10,000","-1.93 %","貸借","0.05"
