銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"ＮＺＡＭＪリート","1595","東証","○","-","-","840","-","無","0.00","1,987","15","0.76 %","-","35","8,450","-0.10 %","貸借","0.00"
"ＭＡＸＩＳＪリート","1597","東証","○","-","-","340","-","無","0.00","1,986","16","0.81 %","-","152","33,730","-0.10 %","貸借","0.00"
"国際石油開発帝石","1605","東証","○","-","○","15,700","-","無","0.00","967.2","-25.9","-2.47 %","-","9,988","6,159,900","-4.04 %","貸借","0.00"
"銀行業連動型","1615","東証","○","-","-","7,900","-","無","0.00","147","1","0.00 %","-","31","301,200","-0.67 %","貸借","0.00"
"ＮＥＸＴＦエネ資源","1618","東証","○","-","-","1","-","無","0.00","11,370","-120","-0.95 %","-","3","41","-1.64 %","貸借","0.00"
"ＮＥＸＴＦ建設・資材","1619","東証","○","-","-","1","-","無","0.00","19,850","-30","0.00 %","-","1","1","-1.78 %","貸借","0.00"
"ＮＥＸＴＦ医薬品","1621","東証","○","-","-","1","-","無","0.00","20,360","-120","-2.95 %","-","9","67","-2.95 %","貸借","0.00"
"ＮＥＸＴＦ自動車","1622","東証","○","-","-","26","-","無","0.00","0","0","-","-","0","0","-","貸借","5.00"
"ＮＥＸＴＦ鉄鋼・非鉄","1623","東証","○","-","-","1","-","無","0.00","0","0","-","-","0","0","-","貸借","0.00"
"ＮＥＸＴＦ銀行","1631","東証","○","-","-","6","-","無","0.00","8,450","-20","-0.47 %","-","12","585","-0.58 %","貸借","0.00"
"ＮＥＸＴＦ不動産","1633","東証","○","-","-","0","-","無","0.00","0","0","-","-","0","0","-","貸借","0.00"
"ダイワＴＰＸ高配当４０","1651","東証","○","-","-","20","-","無","0.00","909","-3","-0.32 %","-","17","1,690","-0.76 %","貸借","0.00"
"ＩＳＳ＆Ｐ５００米国株","1655","東証","○","-","-","185","-","無","0.00","2,255","-20","-0.61 %","-","154","18,479","-0.92 %","貸借","0.00"
"ＩＳ米国債７－１０ＥＴＦ","1656","東証","○","-","-","50","-","無","0.00","2,462","3","-0.24 %","-","14","265","-0.52 %","貸借","0.00"
"ＩＳＭＳＣＩ先進国株","1657","東証","○","-","-","22","-","無","0.00","2,142","-18","-0.27 %","-","61","1,838","-1.51 %","貸借","0.00"
"ＩＳＭＳＣＩ新興国株","1658","東証","○","-","-","24","-","無","0.00","1,849","-24","-1.12 %","-","83","1,636","-1.43 %","貸借","0.00"
"ＩＳ米国リートＥＴＦ","1659","東証","○","-","-","53","-","無","0.00","2,121","-20","-0.70 %","-","165","5,099","-1.62 %","貸借","0.00"
"ＭＸＳ高利Ｊリート","1660","東証","○","-","-","9","-","無","0.00","10,440","40","0.57 %","-","17","209","-0.47 %","貸借","0.00"
"石油資源開発","1662","東証","○","-","○","2,100","-","無","0.00","2,507","-7","-0.27 %","-","1,173","250,000","-1.87 %","貸借","0.05"
"Ｋ＆Ｏエナジーグループ","1663","東証","-","-","○","13,600","-","無","0.00","1,560","-14","-1.76 %","-","46","8,800","-3.82 %","貸借","0.05"
"ＷＴＩ原油ＥＴＦ","1671","東証","○","-","-","1,347","-","無","0.00","2,436","-12","-0.49 %","-","481","134,648","-0.77 %","貸借","0.00"
"上場外債","1677","東証","○","-","-","0","-","無","0.00","49,350","-100","-0.20 %","-","6","360","-0.40 %","貸借","0.00"
"ＮＥＸＴＦインド株指５０","1678","東証","○","-","-","1,000","-","無","0.00","160","0","-0.62 %","-","31","64,600","-1.84 %","貸借","0.00"
"上場海外先進国","1680","東証","○","-","-","80","-","無","0.00","2,427","-6","-0.12 %","-","13","7,320","-0.28 %","貸借","0.00"
